name,lat,lng
AMK-0214,1.367598,103.854472
AMK-0215,1.367475,103.853672
AMK-0216,1.367283,103.854185
AMK-0217,1.367426,103.85383
AMK-0218,1.367361,103.853995
AMK-0219,1.3669,103.854127
AMK-021A,1.366949,103.85395
AMK-021B,1.366381,103.854411
AMK-021C,1.366112,103.854024
AMK-021D,1.366005,103.854285
AMK-021E,1.366151,103.853892
AMK-021F,1.365573,103.855459
AMK-0220,1.365842,103.854755
AMK-0221,1.365729,103.855092
AMK-0222,1.366559,103.855738
AMK-0223,1.366683,103.855372
AMK-0224,1.366955,103.855842
AMK-0225,1.367738,103.856346
AMK-0226,1.367894,103.855978
AMK-0227,1.368881,103.85613
AMK-0228,1.366834,103.858946
AMK-0229,1.367192,103.85861
AMK-022A,1.365729,103.858748
AMK-022B,1.365857,103.858621
AMK-022C,1.365681,103.858815
AMK-022D,1.365688,103.859198
AMK-022E,1.366656,103.859548
AMK-022F,1.366652,103.859709
AMK-0230,1.367107,103.859457
AMK-0231,1.366429,103.859045
AMK-0232,1.366259,103.859047
AMK-0233,1.367509,103.857575
AMK-0234,1.367524,103.857142
AMK-0235,1.366817,103.858167
AMK-0236,1.367154,103.857878
AMK-0237,1.367117,103.857166
AMK-0238,1.367061,103.857397
AMK-0239,1.366702,103.857698
AMK-023A,1.366516,103.857852
AMK-023B,1.367097,103.857167
AMK-023C,1.366337,103.856817
AMK-023D,1.366083,103.857558
AMK-023E,1.36625,103.857054
AMK-023F,1.366361,103.856829
AMK-0240,1.365932,103.856781
AMK-0241,1.365691,103.857356
AMK-0242,1.365906,103.856773
AMK-0243,1.365666,103.857427
AMK-0244,1.365478,103.856537
AMK-0245,1.365277,103.857079
AMK-0246,1.365452,103.856614
AMK-0247,1.364517,103.85649
AMK-0248,1.364524,103.857226
AMK-0249,1.36452,103.856917
AMK-024A,1.364081,103.857186
AMK-024B,1.364103,103.856378
AMK-024C,1.364073,103.856489
AMK-024D,1.363502,103.85629
AMK-024E,1.363478,103.856874
AMK-024F,1.363472,103.856385
AMK-0250,1.36347,103.857132
AMK-0251,1.36347,103.856279
AMK-0252,1.363246,103.857806
AMK-0253,1.363147,103.858082
AMK-0254,1.363026,103.858454
AMK-0255,1.363101,103.858249
AMK-0256,1.363176,103.85809
AMK-0257,1.363274,103.857812
AMK-0258,1.363061,103.858378
AMK-0259,1.363039,103.856743
AMK-025A,1.363058,103.85659
AMK-025B,1.363046,103.857191
AMK-025C,1.363068,103.856743
AMK-025D,1.362841,103.857774
AMK-025E,1.362628,103.858354
AMK-025F,1.362815,103.857854
AMK-0260,1.362673,103.8565
AMK-0261,1.362668,103.856768
AMK-0262,1.36267,103.856249
AMK-0263,1.362437,103.85774
AMK-0264,1.362476,103.857646
AMK-0265,1.362321,103.858055
AMK-0266,1.376019,103.848446
AMK-0267,1.375955,103.84972
AMK-0268,1.375518,103.850229
AMK-0269,1.375422,103.848579
AMK-026A,1.375461,103.848898
AMK-026B,1.375518,103.849325
AMK-026C,1.374841,103.849044
AMK-026D,1.374391,103.849058
AMK-026E,1.37442,103.850425
AMK-026F,1.374427,103.850046
AMK-0270,1.373807,103.849106
AMK-0271,1.374018,103.849898
AMK-0272,1.373984,103.850388
AMK-0273,1.373398,103.849131
AMK-0274,1.373548,103.850345
AMK-0275,1.373548,103.850423
AMK-0276,1.372622,103.84917
AMK-0277,1.372709,103.850021
AMK-0278,1.373476,103.851233
AMK-0279,1.373639,103.851644
AMK-027A,1.373063,103.852173
AMK-027B,1.373123,103.851902
AMK-027C,1.373157,103.851724
AMK-027D,1.372976,103.852605
AMK-027E,1.373001,103.852479
AMK-027F,1.373391,103.852929
AMK-0280,1.373387,103.853038
AMK-0281,1.374193,103.852675
AMK-0282,1.374186,103.852746
AMK-0283,1.374034,103.854358
AMK-0284,1.374069,103.854467
AMK-0285,1.374085,103.853887
AMK-0286,1.374563,103.853171
